,Client ID,Variation,gendr,clnt_age,start_to_step_1_mins,step_1_to_2_mins,step_2_to_3_mins,step_3_to_con_mins,total_time_mins
15863,517707,Control,U,57.0,0.83,0.27,2.02,0.77,3.55
15871,7554368,Test,M,55.5,0.62,0.3,4.32,1.52,6.75
15876,2660839,Test,F,47.0,0.17,0.27,1.15,2.17,3.75
15885,4481563,Test,M,60.0,1.12,0.97,1.17,3.77,6.0
15896,4495887,Test,M,65.5,0.13,0.53,1.2,1.43,3.3
15902,8009380,Test,F,35.5,0.08,0.42,0.78,0.32,1.6
15922,898960,Test,M,55.5,0.43,0.25,2.12,0.88,3.68
15927,7507544,Test,M,41.5,0.08,0.33,2.38,0.37,3.17
15945,7351468,Control,M,46.0,0.1,0.28,4.08,0.73,5.2
15950,889260,Control,U,37.5,0.25,0.57,3.75,1.28,2.43
15960,8550901,Control,M,43.5,0.83,0.15,1.83,1.93,4.75
15965,831738,Test,M,41.5,2.02,0.28,1.42,0.6,4.32
15978,3189956,Test,U,28.0,0.18,0.37,1.7,1.07,3.2
15986,9227906,Test,M,33.5,0.12,0.27,0.88,9.25,10.52
15992,4895382,Control,M,31.5,0.8,0.1,1.57,3.82,6.28
15999,7747447,Control,U,29.5,0.43,0.18,1.07,0.75,1.58
16008,6564909,Test,U,55.0,0.18,0.42,1.6,0.6,2.8
16022,2335870,Test,F,72.5,0.13,0.3,0.93,0.77,2.13
16027,1448725,Test,F,27.5,0.5,1.17,1.45,0.32,3.43
16032,5823627,Control,M,30.0,0.87,0.43,6.33,1.72,8.9
16046,3212145,Test,U,43.0,0.27,0.17,1.1,0.35,1.68
16054,8150031,Test,U,24.5,0.37,0.78,6.1,1.22,8.47
16085,8492366,Control,F,61.5,0.5,1.22,0.57,2.65,3.77
16093,6648952,Test,U,38.5,0.22,0.33,2.13,0.72,3.25
16137,3449388,Control,F,63.5,0.8,0.22,0.53,5.07,6.62
16183,3634423,Test,F,55.5,0.32,1.18,1.73,3.45,5.15
16195,670680,Control,M,57.5,0.37,1.02,0.0,5.63,7.02
16239,591597,Test,M,74.5,0.77,0.68,0.87,1.82,4.13
16250,5545428,Test,U,22.5,0.05,0.12,2.13,0.28,2.58
16260,4027459,Test,M,59.5,1.08,1.1,1.1,1.07,4.35
16267,383141,Test,F,57.5,0.1,0.45,1.42,4.53,6.5
16272,5395498,Test,F,36.5,0.27,0.47,0.58,2.35,3.67
16287,6909361,Control,F,66.5,0.57,0.62,0.57,2.67,4.42
16307,5620972,Test,U,23.5,0.08,0.33,0.93,0.53,1.88
16312,7550662,Control,U,24.0,0.13,0.07,0.47,0.52,1.18
16318,6188944,Test,M,66.0,0.72,2.78,2.83,2.93,8.9
16327,4711787,Control,M,50.0,0.18,1.27,1.95,0.75,4.15
16332,5001615,Test,F,44.0,0.15,0.32,3.77,0.97,5.2
16337,2342766,Test,F,63.5,0.25,0.67,0.9,3.45,5.27
16342,4423720,Test,U,32.5,0.17,0.12,0.58,0.33,1.07
16408,9163772,Test,U,62.5,0.3,1.18,4.43,1.85,4.45
16419,9059192,Control,M,56.5,0.6,1.75,4.42,3.18,9.95
16432,8612264,Test,M,63.5,0.35,0.8,0.55,1.33,3.03
16437,5640846,Control,F,54.5,1.25,1.27,2.33,2.42,7.27
16469,6095222,Test,M,60.5,0.55,0.35,1.72,3.35,5.77
16500,2577355,Control,M,26.0,1.55,0.38,1.65,1.5,2.68
16511,8652897,Test,M,56.5,0.4,1.98,0.77,2.48,5.63
16565,450752,Control,M,62.5,0.32,0.52,0.95,2.67,4.45
16578,5369787,Test,U,65.5,1.08,1.22,0.97,2.97,6.23
16583,4086613,Test,U,58.5,0.28,0.58,2.22,0.83,3.92
16597,4926147,Control,U,25.0,1.55,7.03,0.58,0.32,1.12
16613,2369775,Test,U,27.5,0.07,0.08,0.27,0.4,0.82
16624,2962019,Control,F,39.5,0.27,0.98,0.58,0.93,2.77
16629,6395301,Test,U,36.5,0.45,0.23,0.73,1.32,2.27
16641,5504559,Control,M,42.5,0.8,0.65,1.8,1.83,5.08
16646,5765093,Test,U,27.5,0.07,0.1,0.67,0.4,1.23
16651,6684040,Test,U,42.5,0.42,0.13,1.83,3.75,6.13
16656,1835129,Control,M,30.5,0.17,0.1,0.62,0.47,1.35
16661,6923519,Control,U,31.5,0.13,0.38,10.02,0.27,10.8
16674,1344028,Control,F,27.5,0.17,0.78,4.52,0.57,6.03
16679,5152356,Control,M,33.5,0.13,1.28,0.92,1.27,3.6
16700,7632776,Control,M,42.5,0.22,0.5,1.83,1.27,3.82
16705,9761555,Test,F,60.0,0.17,0.18,0.37,3.05,3.77
16711,1974610,Test,F,21.5,0.25,0.23,1.58,0.42,2.48
16719,1338852,Control,F,37.0,0.12,0.4,1.17,1.1,2.78
16739,704777,Control,U,32.5,0.18,0.12,1.75,0.8,2.85
16745,6335806,Test,F,67.5,0.23,0.35,0.6,1.02,2.2
16750,2758215,Control,M,30.5,0.48,1.85,7.43,0.37,10.13
16764,4881930,Test,F,77.5,0.12,0.27,0.58,0.75,1.72
16774,7954714,Control,F,46.0,0.7,0.43,1.87,2.47,4.98
16787,6883743,Test,M,48.5,0.17,0.28,1.52,4.43,6.4
16794,3206768,Control,M,66.5,0.28,1.3,0.38,1.08,3.05
16799,178493,Control,F,62.5,0.85,1.17,0.7,6.97,9.68
16804,716144,Test,M,67.5,0.25,0.12,1.33,0.95,2.65
16809,1702090,Control,M,45.0,0.12,0.22,1.45,0.3,2.08
16832,7996731,Test,M,29.5,0.15,0.95,5.72,5.7,12.52
16838,259228,Test,F,46.5,0.17,0.47,1.93,1.48,4.05
16843,3593571,Test,F,26.5,0.13,0.15,1.62,0.45,2.35
16848,796524,Control,F,50.0,0.57,0.95,6.1,1.23,8.85
16863,64964,Control,F,64.5,0.57,0.93,1.08,7.37,9.85
16870,4473962,Control,U,63.5,0.18,0.05,0.23,0.95,1.42
16875,1919322,Test,F,21.5,0.1,0.15,0.53,0.27,0.98
16882,6891129,Control,F,57.5,0.92,1.42,0.78,1.42,4.17
16910,1338332,Test,F,55.0,0.1,0.3,1.05,0.4,1.85
16915,2188746,Control,M,28.5,1.17,0.13,3.62,0.52,4.32
16992,9328726,Control,M,27.0,0.38,0.12,0.78,0.55,1.83
17002,2797397,Control,U,59.0,1.23,0.2,1.43,1.68,4.55
17016,7767378,Test,F,33.5,0.17,0.62,1.02,0.33,2.13
17035,8826016,Test,U,30.5,0.2,0.63,0.85,0.83,2.52
17045,5751088,Control,M,51.5,1.23,0.2,3.48,1.65,6.57
17051,947529,Control,F,34.5,0.35,3.95,0.9,1.98,7.18
17060,9944190,Test,F,34.5,0.38,1.42,1.15,0.47,1.05
17074,3646922,Test,U,47.5,1.38,0.37,0.68,0.85,3.28
17088,7594059,Test,M,27.0,0.13,0.37,0.87,0.35,1.72
17094,6554362,Test,F,33.0,0.28,0.3,1.17,0.57,2.32
17099,6759484,Control,M,33.0,0.22,0.25,1.55,0.95,2.97
17104,9602386,Control,U,23.5,0.35,0.12,1.15,0.53,2.15
17109,6452935,Control,M,57.5,0.45,0.87,1.97,4.5,7.78
17127,5544875,Test,M,49.5,0.12,0.28,1.63,1.07,3.1
17132,5317278,Test,M,69.5,1.57,0.73,0.42,0.75,2.9
17142,6056366,Test,F,46.5,1.37,0.1,1.0,0.55,2.92
17148,3992683,Test,F,43.5,0.08,0.3,1.83,0.98,3.2
17153,7003089,Test,M,75.0,0.35,0.43,0.92,0.98,2.68
17167,3754373,Test,F,42.0,0.15,0.75,0.72,0.5,2.12
17172,2866503,Control,M,64.5,0.77,1.47,0.72,2.17,5.12
17183,8742449,Control,M,32.0,0.28,0.2,1.4,0.28,2.0
17196,77071,Control,U,46.5,0.23,0.9,3.27,2.22,6.62
17204,3331643,Control,M,39.5,0.2,0.4,0.78,1.12,2.5
17216,6051158,Test,F,79.0,1.0,0.92,4.05,0.92,5.4
17228,9965963,Control,U,31.5,0.83,0.33,2.25,0.52,1.77
17261,1266731,Control,M,58.5,1.38,0.28,1.27,1.65,4.58
17267,1674824,Test,U,22.5,0.78,2.9,0.73,0.35,1.43
17276,4399785,Test,U,35.5,1.03,0.42,1.15,3.92,6.52
17281,6516140,Control,U,17.5,0.82,0.15,1.97,0.7,3.63
17301,7232983,Test,U,22.5,0.15,0.23,0.77,0.42,1.57
17314,1227277,Control,F,30.5,0.93,0.53,1.47,2.93,5.87
17319,3004927,Test,M,26.0,0.15,0.43,0.8,0.38,1.77
17324,7576316,Control,F,73.5,0.52,0.22,0.45,1.23,1.93
17331,148850,Test,M,32.0,0.23,0.27,1.07,1.12,2.68
17337,608061,Test,U,73.0,0.92,2.65,0.5,1.03,2.5
17345,3897297,Test,M,59.5,0.7,2.22,0.8,0.43,1.97
17390,1723024,Control,M,41.5,0.17,0.85,2.0,3.23,6.25
17400,544420,Test,F,30.5,0.95,0.1,0.47,4.38,5.9
17405,8165113,Control,M,39.5,0.48,0.47,5.58,0.73,7.27
17426,1120421,Test,F,74.5,0.1,0.6,0.88,0.92,2.5
17431,2576852,Test,M,40.5,0.2,0.08,0.93,0.28,1.5
17444,669111,Control,F,44.0,0.12,0.12,1.5,0.57,2.3
17456,5233962,Test,M,67.5,0.92,0.8,2.35,2.25,6.32
17461,2533218,Control,M,29.5,0.58,3.55,0.97,6.65,11.75
17467,9939253,Control,M,65.5,0.2,0.2,0.52,3.48,4.4
17478,2437813,Test,F,41.5,0.07,0.23,0.58,0.43,1.32
17486,5291423,Control,U,28.5,0.07,0.28,1.3,0.58,2.23
17491,2906578,Test,F,28.5,0.25,0.78,2.87,2.2,5.28
17502,1324064,Control,U,57.5,0.45,0.17,1.3,4.93,6.85
17509,9243681,Control,F,54.5,0.5,0.15,0.43,1.28,2.37
17514,8841408,Test,F,26.5,0.37,0.18,0.98,0.35,1.88
17519,7924466,Test,U,36.5,0.15,0.8,2.12,2.93,6.0
17524,9029171,Test,F,41.5,0.12,0.97,1.47,0.75,3.3
17533,5545133,Test,U,51.5,1.75,2.48,1.0,2.75,6.62
17566,7525715,Test,U,66.5,0.28,0.8,0.52,3.68,5.28
17571,2104456,Control,U,40.5,0.27,0.17,5.03,0.55,6.02
17585,3109397,Test,M,63.5,0.27,1.05,2.0,1.88,5.2
17590,8034861,Test,F,73.5,0.62,1.18,3.15,4.77,9.72
17603,6601330,Test,U,56.5,0.08,0.27,1.75,0.62,2.72
17608,1318165,Test,U,86.0,0.7,0.67,0.38,0.77,2.52
17613,6837412,Control,U,63.5,0.32,0.62,1.57,0.85,3.35
17634,1096936,Test,F,66.5,0.1,0.2,0.48,0.7,1.48
17641,4899808,Control,U,47.0,0.35,0.12,4.07,0.52,4.78
17666,796031,Control,F,65.0,0.48,0.37,0.98,2.53,4.37
17673,5470143,Control,U,23.0,0.1,0.2,1.55,0.38,2.23
17678,6054693,Test,F,49.5,0.05,0.22,1.15,0.3,1.72
17683,1256759,Test,F,53.5,0.18,0.45,0.92,0.75,2.3
17688,3084989,Control,U,26.5,0.73,0.37,7.7,3.57,12.37
17693,6795686,Control,U,66.0,1.15,0.3,0.73,1.6,3.78
17724,7991318,Control,F,58.0,1.55,1.23,8.27,1.25,11.23
17765,6551602,Control,U,25.5,0.22,0.98,2.18,0.65,3.55
17778,5485000,Test,U,29.5,1.22,0.88,1.18,0.72,2.93
17787,6216106,Control,U,62.5,1.0,0.18,0.35,10.93,12.47
17792,7163306,Test,F,63.5,1.35,1.07,0.85,0.82,3.78
17809,7223732,Test,U,66.5,0.87,0.97,1.57,2.25,5.65
17814,4336858,Test,U,33.0,0.28,0.18,0.58,0.33,1.38
17819,5105149,Control,F,27.5,0.05,0.08,0.95,1.05,2.13
17824,6776360,Control,U,61.5,0.33,0.17,0.6,1.22,2.32
17829,9173795,Test,M,37.5,0.15,1.1,2.07,0.7,4.02
17834,5299415,Test,U,25.5,0.1,0.62,1.08,0.52,2.32
17839,4159731,Control,U,24.5,0.42,0.17,1.03,0.83,2.45
17844,7102674,Control,U,31.5,0.37,0.08,1.32,2.23,4.0
17874,1976107,Test,F,45.5,0.1,0.62,2.87,0.65,4.23
17881,1052179,Test,M,40.5,0.08,0.55,1.87,1.08,3.58
17902,8901859,Control,M,49.5,0.38,1.37,2.0,1.0,4.75
17921,2515588,Test,M,61.5,0.18,0.18,1.33,0.32,1.88
17929,6258296,Test,F,49.5,0.7,0.75,0.93,2.02,4.2
17936,5390890,Control,F,56.5,0.07,0.4,1.5,1.47,3.43
17943,5904217,Test,U,47.5,0.33,0.45,3.2,1.57,5.55
17960,8796890,Test,M,58.5,0.58,0.48,1.22,1.03,3.32
17965,4882812,Test,U,35.0,0.25,0.45,0.82,0.55,2.07
17970,3635906,Control,F,49.5,0.77,1.1,2.13,3.07,7.07
17975,1175845,Control,F,40.5,0.15,0.1,2.28,0.93,3.47
17980,6564341,Test,U,62.5,0.93,0.22,0.83,1.95,3.93
18001,1506608,Test,U,70.5,0.52,2.28,0.62,2.02,5.43
18006,8046380,Control,F,72.5,0.97,1.78,3.35,0.92,2.43
18020,3069269,Test,M,31.5,1.52,0.43,1.68,0.55,4.18
18050,9956593,Control,F,61.5,0.73,1.03,1.95,1.87,5.58
18055,3422908,Control,U,41.5,0.12,0.28,11.38,0.0,11.78
18075,9294027,Control,U,61.5,1.82,0.07,1.5,1.45,4.65
18082,2000326,Control,U,23.5,0.6,0.17,2.23,2.13,5.13
18087,9149605,Test,M,29.0,0.42,0.08,0.68,0.28,1.32
18094,6670049,Control,F,23.5,0.08,0.5,0.88,0.53,2.0
18101,7229160,Control,U,56.5,0.8,1.17,1.22,4.6,7.78
18113,3649658,Control,M,60.5,1.32,0.4,0.38,1.72,3.28
18120,9522528,Control,M,39.5,0.65,1.97,2.2,2.3,7.12
18131,4701664,Control,M,76.5,1.57,0.65,3.95,1.18,6.98
18143,8587126,Test,F,26.5,0.32,0.6,1.07,0.93,2.7
18150,9552811,Test,F,47.5,1.37,0.33,0.97,1.18,3.85
18155,421209,Test,M,29.5,0.17,1.03,1.52,0.28,3.0
18160,5197524,Test,U,66.5,0.88,0.77,0.82,1.57,4.03
18172,9669255,Test,U,52.5,0.1,0.08,0.18,0.47,0.78
18187,1993947,Control,U,58.5,0.75,1.57,2.52,0.85,2.55
18199,7155672,Test,F,63.5,0.12,0.32,0.53,2.82,3.78
18205,5746657,Control,U,63.5,0.87,0.3,0.95,3.78,5.9
18211,9353417,Test,F,36.5,0.17,0.35,1.0,0.65,2.17
18217,8985747,Control,U,36.5,0.05,0.07,1.35,0.3,1.77
18222,7784210,Test,F,21.5,0.15,0.38,0.75,1.3,2.58
18248,9939021,Test,F,35.5,0.15,0.67,1.85,1.75,4.33
18256,2131562,Control,M,72.0,0.08,0.38,1.9,2.38,4.75
18274,74169,Control,U,35.5,0.93,0.57,2.75,1.5,5.7
18282,7810991,Test,F,71.5,1.08,0.58,0.67,0.95,3.28
18290,1969872,Control,U,55.5,1.37,0.27,2.07,5.02,8.47
18313,7295110,Control,U,46.0,0.43,1.53,1.0,1.08,4.05
18335,3313072,Test,F,36.5,0.12,0.55,1.42,0.57,2.65
18340,2006775,Test,M,56.5,0.97,0.88,2.57,1.2,4.83
18367,6901308,Test,U,26.5,0.13,0.38,1.92,0.3,2.73
18387,7296342,Test,M,28.5,1.75,0.25,0.6,0.77,3.37
18399,4252494,Control,F,48.0,0.47,1.12,4.05,3.93,9.57
18407,2696301,Test,U,67.5,0.83,2.35,1.5,7.72,12.4
18412,604915,Test,M,33.5,0.17,1.15,2.43,0.85,4.6
18425,610338,Test,F,35.5,0.53,0.27,1.23,0.37,1.35
18444,2040881,Control,U,34.5,0.42,0.58,1.17,2.02,2.88
18453,8412195,Test,U,58.5,0.12,0.2,3.4,0.43,4.15
18458,8716565,Test,M,24.5,0.05,0.37,1.43,1.1,2.95
18463,3239922,Control,M,21.5,0.23,0.88,1.37,1.25,3.73
18502,1417850,Test,F,46.5,0.62,0.52,1.0,1.18,3.32
18507,4423162,Control,M,37.5,0.38,0.07,1.78,0.88,2.77
18514,8409890,Test,M,43.5,0.18,0.38,1.48,1.92,3.97
18530,1633998,Test,M,43.5,0.3,0.85,1.6,2.35,4.83
18540,3764694,Test,U,48.0,0.37,0.32,2.25,1.43,4.37
18546,9214877,Control,F,55.5,0.58,0.72,0.6,7.7,9.6
18553,3590118,Control,F,47.0,1.7,0.97,3.92,2.18,4.1
18569,1946252,Control,M,55.5,0.2,1.27,1.45,0.87,3.78
18591,4004030,Control,U,27.5,0.18,0.27,2.32,2.87,5.63
18597,6438911,Test,M,45.0,0.22,0.38,0.85,0.27,1.72
18608,4218088,Control,U,24.0,0.22,0.22,0.78,0.27,1.35
18615,4843735,Control,M,34.5,0.18,0.18,1.4,0.97,2.73
18620,6556384,Control,M,49.5,0.6,1.47,1.33,1.6,5.0
18627,5625895,Control,U,33.5,0.4,0.65,2.33,0.0,3.38
18634,6124081,Test,F,40.5,0.08,0.12,1.9,0.37,2.47
18639,2475916,Control,U,56.5,0.48,0.23,2.27,1.38,2.57
18650,5480007,Test,F,57.5,0.18,0.63,2.15,1.43,4.4
18655,7301267,Test,F,66.5,0.25,1.13,0.68,6.12,8.18
18661,821422,Control,U,58.5,0.38,0.78,2.25,5.32,8.73
18673,7526512,Test,U,29.5,0.05,0.15,0.77,0.3,1.27
18682,6956977,Test,M,62.5,1.43,1.07,0.83,2.5,3.55
18691,1271683,Test,M,35.5,0.13,0.57,2.2,0.43,3.33
18696,8980847,Test,M,32.5,0.05,0.97,2.25,0.35,3.62
18701,9307092,Control,U,34.0,0.17,0.07,0.83,0.35,1.3
18724,3332621,Test,F,25.5,0.88,0.08,1.17,1.08,2.92
18733,9772582,Test,F,37.5,0.13,0.12,2.68,0.4,3.25
18756,1926672,Test,F,52.0,0.07,0.73,0.47,0.28,1.55
18761,4143163,Test,M,32.0,0.33,0.98,0.7,0.32,1.45
18770,2262081,Control,M,51.5,0.23,0.95,3.2,1.28,5.67
18783,1652959,Control,U,30.5,0.47,0.12,2.0,3.97,6.55
18788,4061878,Test,F,65.5,0.48,0.7,0.45,1.45,3.08
18808,1564135,Test,U,59.0,0.18,0.18,1.12,0.47,1.95
18821,2606054,Test,M,42.0,0.13,0.2,1.72,0.65,2.7
18826,7693596,Test,U,28.5,0.12,0.32,2.2,0.42,3.05
18831,3745695,Control,F,53.5,0.22,1.13,0.98,0.77,3.1
18839,9385756,Test,M,66.5,0.6,1.1,0.85,1.85,4.4
18856,3596285,Test,F,44.5,0.95,0.27,0.73,0.42,2.03
18878,7893913,Test,U,24.5,0.1,0.07,1.0,0.62,1.73
18886,6700604,Control,U,48.5,0.18,0.45,0.35,0.75,1.73
18941,1324191,Control,U,48.0,0.32,0.3,2.08,0.5,1.37
18977,113852,Test,M,25.5,0.23,0.13,2.05,0.33,2.75
18982,3284406,Control,U,47.5,0.23,0.4,3.18,1.07,4.88
18989,9257964,Test,F,54.5,0.17,1.02,1.18,0.75,3.12
18995,1265496,Test,M,49.5,0.38,0.22,1.18,0.58,2.37
19011,4472004,Control,M,69.0,1.3,2.18,0.9,3.22,7.6
19073,4227154,Control,M,47.5,0.18,0.15,1.38,1.17,2.88
19087,6444715,Test,F,57.5,0.7,0.4,0.75,4.47,6.32
19095,6675679,Control,U,53.5,0.52,0.55,1.67,1.4,4.13
19100,6829804,Test,M,42.5,0.07,0.35,1.8,0.72,2.93
19105,684639,Test,F,48.0,0.07,0.45,1.15,0.33,2.0
19112,8852160,Test,U,58.5,0.15,0.28,0.63,0.55,1.62
19117,3049191,Control,U,30.5,0.23,1.65,0.92,7.25,9.97
19124,6724190,Test,M,31.5,0.18,0.53,1.2,0.37,2.28
19130,9812753,Control,U,41.5,0.13,0.23,4.12,1.02,5.5
19136,69598,Control,F,58.0,0.2,0.17,3.87,0.87,5.1
19155,2014716,Test,F,30.0,0.15,0.12,0.55,0.33,1.15
19181,5891447,Control,U,22.5,0.18,0.08,1.75,1.85,3.87
19190,3638761,Control,U,51.5,0.43,0.37,2.08,1.68,4.57
19195,7650855,Test,F,65.0,0.15,0.38,0.7,1.03,2.27
19200,4077516,Test,M,47.5,0.43,0.87,0.98,1.53,3.82
19205,9654726,Control,M,56.0,0.32,0.45,2.28,0.87,3.92
19210,8310807,Control,U,20.5,0.18,0.1,0.0,4.72,5.0
19247,5348797,Test,U,20.5,0.27,0.72,2.02,0.63,3.63
19271,8378593,Control,F,59.0,0.17,0.17,3.25,0.57,4.03
19282,672407,Control,F,58.5,1.47,0.33,0.35,6.52,7.93
19289,2196035,Test,U,53.5,0.15,0.88,4.35,4.95,10.33
19295,8704516,Control,U,31.5,0.25,0.08,1.52,1.03,2.7
19307,2078711,Control,F,48.5,0.45,0.32,1.18,1.3,3.25
19313,3209032,Control,F,51.0,0.45,0.47,1.23,1.05,3.2
19321,1659843,Test,U,30.5,0.17,1.05,2.05,0.45,3.28
19342,8601616,Test,U,61.5,0.65,0.43,0.48,0.73,1.52
19359,9640127,Control,U,38.5,1.7,1.38,3.37,0.88,6.13
19367,9550257,Control,F,56.5,0.77,0.73,2.58,3.08,7.17
19372,8621093,Test,F,38.5,1.35,0.73,3.75,2.52,8.35
19377,2015629,Test,F,49.5,0.13,0.32,1.03,3.37,4.85
19382,1321300,Control,F,52.5,0.57,0.87,2.63,1.82,5.88
19387,6290066,Test,F,53.5,2.03,1.23,0.93,6.72,10.92
19393,6363396,Control,M,59.0,0.07,0.37,1.0,0.65,2.08
19399,571941,Control,M,33.0,0.07,0.17,0.7,0.32,1.25
19463,2097904,Test,F,64.5,0.38,0.27,0.33,1.68,0.05
19511,8827881,Test,U,49.5,2.02,0.88,1.48,1.25,5.63
19521,3149933,Control,M,55.5,0.17,0.23,2.05,0.97,3.42
19559,5045965,Test,M,49.5,0.12,2.45,0.33,0.58,3.48
19581,8827174,Test,F,32.0,0.1,0.93,0.68,1.77,3.48
19587,5316776,Test,M,41.5,0.62,0.38,1.35,0.48,2.83
19593,5467090,Test,U,27.5,0.12,0.6,0.75,0.77,2.23
19613,2546096,Test,U,60.5,0.25,0.35,2.07,0.63,3.3
19631,8413855,Control,M,55.0,0.12,0.25,1.22,0.75,2.33
19639,3775302,Test,U,27.0,0.13,0.23,0.7,0.37,1.43
19644,1537702,Test,U,57.5,0.2,0.5,4.18,4.13,9.02
19651,9044013,Control,M,58.5,0.52,0.38,1.37,1.1,3.2
19658,5281064,Control,F,67.5,0.4,1.23,0.57,2.23,4.43
19663,3394851,Test,U,25.5,0.1,0.45,2.23,0.52,3.3
19672,9173025,Control,M,38.5,0.38,0.12,1.08,4.27,5.85
19677,9210764,Control,U,25.5,0.28,0.08,1.47,0.92,2.75
19683,8097910,Test,F,58.5,0.48,0.22,0.35,1.07,1.72
19694,477029,Test,U,27.0,0.32,0.12,2.28,3.38,5.83
19701,8685018,Control,F,34.5,0.87,0.4,2.32,1.57,5.15
19706,4411577,Control,F,52.5,0.12,1.0,0.52,10.88,12.52
19712,2652105,Control,U,27.5,0.23,0.22,2.2,2.2,4.85
19717,3300476,Test,M,28.0,0.27,0.22,2.58,0.53,3.4
19724,3024162,Test,F,43.5,0.1,0.3,1.67,0.37,2.37
19731,2010755,Test,M,64.5,0.08,0.2,1.85,0.37,2.5
19737,3076584,Control,F,66.5,0.05,1.03,1.15,3.7,5.93
19746,2113915,Test,U,38.5,0.12,0.37,2.45,0.78,3.72
19751,4928966,Test,M,65.5,0.58,0.75,0.57,0.98,2.88
19767,728102,Test,F,62.5,0.23,0.6,0.57,9.03,10.43
19774,9801271,Control,F,46.5,0.18,0.32,0.28,0.98,1.77
19780,1400233,Control,M,31.0,0.07,0.17,0.73,0.33,1.3
19794,5887227,Test,U,32.5,0.65,1.45,1.63,1.88,5.62
19802,8504929,Test,M,32.5,0.4,0.67,1.18,1.77,4.02
19819,9875262,Test,F,44.5,0.08,0.3,1.25,0.47,2.1
19826,2977468,Test,F,22.5,0.07,0.2,0.68,0.28,1.23
19831,8357092,Control,U,52.5,0.3,0.15,1.27,1.15,2.87
19862,8062240,Test,U,66.5,0.08,0.48,0.57,1.43,2.57
19903,9097791,Control,F,51.0,0.08,0.38,1.23,0.98,2.68
19912,6439467,Test,U,30.5,1.87,0.12,0.9,0.52,1.68
19977,2177579,Control,F,46.5,0.6,0.13,1.82,1.07,3.25
19995,9541159,Test,U,34.5,0.1,0.3,2.18,1.43,4.02
20000,3892026,Control,M,39.5,0.23,0.73,0.32,0.43,1.72
20006,9765226,Test,U,28.0,0.07,0.12,1.2,0.27,1.65
20011,6585563,Test,F,47.5,0.18,0.6,1.88,1.12,3.78
20039,4287944,Control,U,22.5,1.93,0.13,2.68,0.77,5.52
20045,5052588,Test,U,30.0,0.15,0.35,0.93,0.47,1.9
20065,3404682,Control,F,76.5,1.6,1.25,2.27,3.77,5.5
20075,8905979,Control,F,58.0,0.3,0.28,1.7,1.57,3.85
20107,7159995,Control,M,25.5,0.2,0.5,1.53,0.77,3.0
20114,5471058,Test,F,53.5,0.23,0.68,2.93,6.88,10.73
20119,7033655,Test,M,72.5,0.12,0.47,0.38,0.75,1.72
20124,2591463,Control,M,22.5,0.07,0.08,2.1,0.28,2.53
20130,5269752,Control,F,73.5,0.32,0.28,0.53,2.5,3.63
20135,3734426,Control,M,76.0,0.12,0.83,0.68,2.4,4.03
20150,2188558,Control,M,57.5,0.28,0.27,0.65,1.32,2.4
20157,7305586,Control,F,26.0,0.08,0.27,1.25,0.43,2.03
20169,8900562,Control,M,36.5,0.62,0.62,0.65,2.42,4.3
20193,3613404,Control,M,34.5,0.43,0.2,0.62,0.72,1.45
20202,6023550,Test,F,46.5,0.42,1.12,0.87,0.28,0.88
20215,561544,Test,U,67.5,0.15,0.3,0.42,0.95,1.82
20229,4554482,Control,M,32.5,0.32,0.15,1.2,0.7,2.37
20235,528622,Test,M,58.5,0.22,0.42,3.17,1.77,5.57
20240,2111947,Test,U,28.5,0.48,0.22,1.5,1.63,3.83
20245,7473321,Control,F,34.5,0.72,0.27,0.7,0.67,1.07
20254,4144091,Test,F,25.0,0.4,0.37,0.65,0.37,1.5
20309,2218715,Test,F,59.5,1.9,0.43,0.48,1.12,2.1
20333,4515949,Test,U,65.5,0.22,0.73,1.43,2.78,5.17
20349,9062208,Test,F,76.5,1.85,0.4,0.57,1.72,4.53
20356,1150259,Test,U,59.0,0.2,0.57,2.28,0.82,3.87
20361,9180317,Test,F,52.5,0.22,0.15,1.72,1.92,4.0
20366,6004361,Test,F,23.5,0.13,0.6,0.5,1.0,2.23
20382,7888406,Control,M,47.5,0.15,0.42,2.35,0.73,3.65
20387,5747508,Test,U,17.5,0.1,0.28,0.27,0.3,0.95
20399,4796345,Test,F,45.0,0.13,0.07,1.5,0.28,1.98
20404,7380697,Test,M,57.5,0.32,1.35,0.88,1.9,4.45
20425,5328856,Control,U,46.5,0.22,0.22,1.03,1.45,2.92
20430,4933730,Test,F,31.5,0.13,0.3,1.07,0.88,2.38
20456,8240028,Control,M,59.5,0.92,1.23,2.0,2.97,7.12
20461,8943789,Control,M,31.5,0.3,0.17,3.13,7.63,11.23
20466,2223198,Control,M,30.0,0.05,0.5,0.82,0.43,1.8
20471,6104987,Test,F,63.0,0.13,0.4,0.4,8.3,9.23
20533,7397134,Control,F,54.5,0.23,0.48,1.8,5.38,7.9
20540,7267276,Control,F,52.5,0.42,0.6,1.68,0.75,3.45
20545,2025734,Control,U,37.5,0.4,0.17,1.7,1.95,4.22
20559,5260155,Test,F,67.5,0.18,0.92,0.5,1.4,3.0
20584,233965,Control,F,21.5,0.12,0.12,0.72,0.55,1.5
20589,4101933,Test,F,60.5,0.37,0.5,2.58,2.02,5.47
20627,7893818,Test,U,31.0,0.18,0.3,0.82,0.42,1.72
